CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CaseStatusID,IncidentFromDate,latitude,longitude,BriefFacts
28,100020001202400028,202400028,2024-01-24,5,21,1,2,2,4,2024-01-23 03:45:15,12.282353321523695,76.65643287677447,Sit molestiae placeat animi possimus reiciendis quae ab. Id aliquam deleniti officiis laborum quas.
29,100020001202300029,202300029,2023-12-02,39,25,3,2,4,1,2023-11-29 22:15:35,12.335302817416617,76.60707660439726,Repellendus sint est repellendus dicta esse maxime neque. Quis esse occaecati harum.
30,100050001202400030,202400030,2024-09-01,39,53,3,2,5,3,2024-08-30 10:37:21,15.868194496729718,74.47351189432179,Officia quae necessitatibus veniam eveniet tenetur. Aspernatur quas eaque veritatis adipisci.
31,100080001202300031,202300031,2023-11-25,21,81,1,1,5,3,2023-11-21 15:03:33,15.150556582484818,76.95341374294387,"Necessitatibus similique fuga id vitae. Dolor pariatur adipisci nemo exercitationem eligendi mollitia. Aut alias ratione ea tempore.
In numquam vero enim. Eligendi quisquam sunt mollitia."
32,100010001202500032,202500032,2025-08-02,21,12,3,2,2,1,2025-08-02 04:25:34,12.921693512214803,77.59301372023067,Aperiam iste soluta explicabo officiis repellendus dolorem. Eaque unde dignissimos aut at blanditiis consequatur. Corrupti et est impedit ipsam.
33,100010001202300033,202300033,2023-12-24,33,13,2,1,4,1,2023-12-22 22:57:05,13.01214544235713,77.54784978201029,Illo recusandae ad soluta. Consequuntur expedita ipsa ipsa quo facilis. Tempore iure aspernatur quo dolorum ea.
34,100050001202300034,202300034,2023-04-25,39,55,2,2,5,3,2023-04-25 07:01:23,15.847134116034525,74.53845824295068,"Blanditiis commodi illo. Eaque omnis dicta fuga.
Eligendi distinctio alias fugiat error distinctio numquam.
Vero asperiores perferendis. Omnis nobis tenetur porro expedita eligendi necessitatibus."
35,100010001202600035,202600035,2026-04-25,12,14,3,1,3,4,2026-04-25 16:51:07,12.939772802686635,77.61531947681172,Commodi perferendis eius esse libero. Nisi laboriosam et delectus numquam sapiente quia itaque. Maiores eligendi nihil quod nobis expedita. Delectus aspernatur asperiores aut.
36,100010001202500036,202500036,2025-07-11,31,13,1,1,2,4,2025-07-08 03:41:11,12.955392813362186,77.5719740851392,"Suscipit reprehenderit voluptatem distinctio aliquid ab. Corrupti laborum dolorem nam nisi quasi.
Dolor vel suscipit ex. Fugiat maiores iure repellat doloribus id."
37,100010001202500037,202500037,2025-08-17,24,14,3,1,3,1,2025-08-14 20:28:57,12.966810755920802,77.54514433743286,Sunt molestiae consequuntur deserunt sed. Exercitationem tempora autem praesentium.
38,100010001202400038,202400038,2024-11-12,2,11,2,1,5,2,2024-11-10 22:35:10,12.964317757854122,77.57961594643777,"Mollitia placeat vel aperiam fugiat accusamus animi. Molestias asperiores debitis nihil fugit magni.
Aliquid corrupti esse quae eos voluptas. Iusto asperiores temporibus ullam totam architecto."
39,100070001202300039,202300039,2023-08-05,28,74,3,2,2,3,2023-08-04 08:01:25,14.450768252956427,75.95327079244822,Totam nulla quibusdam repellendus alias dolorem earum vero. Quo maiores nihil impedit.
40,100030001202500040,202500040,2025-02-17,2,35,3,1,2,1,2025-02-17 20:05:02,15.411331322077787,75.14383737349041,Delectus est ducimus soluta. Minima explicabo sequi atque.
41,100010001202600041,202600041,2026-05-19,37,11,3,1,4,2,2026-05-19 21:13:26,12.96861316875661,77.58297244389023,"Debitis dolores ab.
Quam ullam voluptatibus. Non eum fugiat nam. Aspernatur qui debitis molestiae quia."
42,100010001202500042,202500042,2025-09-04,39,11,3,2,2,3,2025-08-31 11:21:11,12.957509320026585,77.54997467126728,Veniam incidunt eaque praesentium doloremque molestiae. Nulla accusantium voluptatum facilis saepe.
43,100050001202400043,202400043,2024-01-24,15,52,3,2,5,3,2024-01-19 16:02:28,15.896222256982352,74.48237400400298,"Minima mollitia porro libero. Accusamus maiores nisi.
Velit nobis asperiores perferendis. Ea neque possimus minima quod.
Quod eligendi quaerat occaecati earum. Dicta pariatur necessitatibus eos vero."
44,100050001202300044,202300044,2023-08-05,50,55,3,1,5,1,2023-08-05 20:29:17,15.825323207034222,74.47696285529271,Exercitationem ratione quidem perferendis eligendi odit. Praesentium quasi provident inventore alias ab. Perspiciatis eveniet sequi tempora consequuntur facilis laudantium.
45,100010001202300045,202300045,2023-06-23,8,12,1,1,5,1,2023-06-22 11:06:33,12.95855804941964,77.60847164335902,Odit incidunt officia dolorem vel consequatur tenetur. Similique quo est.
46,100040001202400046,202400046,2024-06-11,24,43,2,1,2,4,2024-06-09 06:55:13,12.899382590891081,74.84131957245731,Ipsa reprehenderit dolor quas. Minus enim mollitia corporis provident alias perspiciatis. Error sunt atque ab laudantium.
47,100010001202400047,202400047,2024-03-08,13,12,1,1,2,2,2024-03-08 17:38:06,12.966796724792163,77.61097552833144,Assumenda rem quod nihil inventore perspiciatis minus dicta. Tenetur dolorum pariatur alias facilis aspernatur. Deserunt et provident dolor a atque deserunt corporis.
48,100010001202500048,202500048,2025-06-25,30,15,1,1,2,2,2025-06-24 07:34:14,12.981652502509244,77.56583432735253,"Porro voluptas consequuntur delectus. Ut labore sequi sequi.
Facilis occaecati illo odit. Quo placeat enim architecto blanditiis blanditiis iusto. Repudiandae vero sed temporibus tempore dolorum."
49,100010001202300049,202300049,2023-03-15,34,14,1,2,3,3,2023-03-15 16:32:44,12.962874257938804,77.5699715559915,Rerum dolore officiis exercitationem laboriosam qui soluta. Quo et placeat ad debitis. Deserunt libero doloremque earum error.
50,100020001202500050,202500050,2025-03-14,5,25,3,2,3,2,2025-03-09 22:03:55,12.318055524450727,76.63714178829525,"Pariatur eius voluptate accusamus est in quos. Odit occaecati blanditiis laboriosam corrupti commodi.
Et ipsa quis ipsa itaque. Explicabo ex nesciunt rem dolorem sapiente."
51,100010001202400051,202400051,2024-10-26,19,13,1,2,2,2,2024-10-25 22:28:46,12.99129593289894,77.60371660850593,Ducimus tempora eius quibusdam vitae sunt beatae. Tempora fuga praesentium accusantium dolore hic blanditiis architecto. Laboriosam neque quo.
52,100080001202600052,202600052,2026-02-17,43,81,1,2,1,1,2026-02-14 13:02:28,15.114971773934556,76.87999561726372,"Soluta possimus sapiente alias illum mollitia quam.
Enim aliquid fugiat quisquam adipisci sit. Suscipit error soluta natus dignissimos quam tempora."
53,100030001202500053,202500053,2025-09-25,5,33,2,2,4,2,2025-09-23 13:29:53,15.405952360456379,75.08226918822963,"Sapiente numquam laboriosam. Ullam accusantium recusandae qui. Temporibus id eveniet sint aliquam.
Qui inventore distinctio est."
54,100030001202500054,202500054,2025-02-07,2,34,3,1,5,2,2025-02-03 02:26:37,15.372177491619517,75.12957656648328,"Totam quasi eligendi numquam eveniet corporis. Quia aliquid reprehenderit voluptate.
Ratione sed delectus maxime perferendis. Quibusdam cupiditate eius laudantium."
55,100070001202500055,202500055,2025-05-19,28,73,2,2,2,2,2025-05-16 14:35:46,14.503609100018021,75.96072836882618,Odit error veniam deleniti a consectetur nisi. Quisquam praesentium facilis voluptates rerum. Nobis a dicta possimus tempora esse ratione ducimus.
56,100040001202400056,202400056,2024-08-30,47,43,3,2,3,1,2024-08-28 04:56:21,12.87207578826649,74.8248569037384,Sequi eveniet exercitationem dolor sint suscipit expedita. Quam perferendis temporibus rem. Quos harum neque quam labore quia possimus. Dolorum maxime iste eum veritatis aliquam molestias aliquam.
57,100010001202400057,202400057,2024-08-08,38,15,1,1,5,2,2024-08-08 20:03:55,12.971866348350378,77.56090222597838,"Distinctio deleniti hic blanditiis. Maiores odio quo culpa.
Necessitatibus voluptates ab dicta. Animi expedita quidem. Beatae quasi illo officia."
58,100030001202600058,202600058,2026-03-22,11,31,2,1,5,4,2026-03-22 18:20:39,15.37992172087449,75.08889330604674,"Placeat quidem provident rerum sint debitis. Iusto vel beatae ut odio voluptates dolore.
Vero quis commodi repellat eius recusandae ipsum. Vel consequuntur cum aperiam corrupti delectus hic iste."
59,100010001202400059,202400059,2024-12-16,15,14,3,1,5,3,2024-12-13 20:43:30,12.955875154217862,77.57125871303302,"Ipsam vitae necessitatibus qui aspernatur doloribus fugiat. A ad repellat enim animi.
Facilis quia vel. Impedit assumenda repellendus excepturi."
60,100020001202400060,202400060,2024-08-24,35,21,2,2,2,4,2024-08-20 21:34:13,12.25944713704117,76.61555817505442,"Dolorum itaque quasi enim laboriosam ipsam quos. Dolorum fugit doloremque maxime.
Debitis quod aut veniam. Error doloribus officia earum unde iusto. Tempora numquam ut et praesentium occaecati."
61,100080001202400061,202400061,2024-03-24,6,85,2,2,2,3,2024-03-19 10:14:30,15.132023783080134,76.96635902371965,"Sunt aspernatur ducimus provident. Quis odio soluta illo saepe magni iusto. In fugiat quis quas quae iste odio.
Laborum nihil qui vitae odio. Corporis ad deleniti eos."
62,100020001202400062,202400062,2024-06-04,48,22,2,1,2,2,2024-06-04 00:44:13,12.34083472326831,76.62364541100148,Numquam repellendus est eaque voluptatibus laboriosam ipsam. Suscipit quaerat velit reiciendis eligendi necessitatibus.
63,100060001202500063,202500063,2025-09-08,14,64,3,2,2,4,2025-09-07 17:51:00,17.315636025989125,76.8287346681257,"Saepe laborum vel eligendi maxime repellat.
Deserunt amet aliquam libero alias adipisci fugiat. Dolores placeat excepturi totam. Amet tempore nostrum dolorum quod eum cupiditate."
64,100010001202500064,202500064,2025-11-16,11,14,1,1,4,1,2025-11-12 08:39:58,12.967578144145726,77.62262512721858,Enim neque explicabo dolorem enim corporis occaecati. Expedita ad animi repellendus unde pariatur totam. Voluptas officia ipsa quaerat dolor ab.
65,100010001202600065,202600065,2026-05-12,21,13,1,1,5,4,2026-05-08 15:34:44,12.922439427795597,77.63956154048687,"Nam commodi modi fuga. Iusto dolore facilis molestiae vitae eius.
A quisquam magni totam nostrum nobis optio. Beatae consequatur eaque facilis. Accusamus ad reprehenderit fugiat."
66,100020001202600066,202600066,2026-04-01,20,25,3,2,3,1,2026-03-30 11:03:34,12.33951611301253,76.60347708248852,"Culpa eum vero quibusdam quibusdam quaerat. Atque quod incidunt assumenda.
Magnam sint quo temporibus. Reprehenderit explicabo illo beatae expedita illo ipsam."
67,100010001202400067,202400067,2024-05-31,31,12,2,1,3,3,2024-05-28 11:02:41,12.972901101632006,77.57506854589829,Cumque aut tempora architecto placeat labore. Veritatis ut rem omnis quos voluptatibus. Exercitationem ea nobis totam.
68,100010001202400068,202400068,2024-09-10,28,14,1,1,5,4,2024-09-07 03:27:38,12.938672941069676,77.58848223048284,Molestias pariatur optio iste impedit. Quos necessitatibus quaerat quasi iste eius. Natus maiores expedita. Ad nostrum provident impedit quasi.
69,100020001202300069,202300069,2023-06-15,30,25,2,2,5,4,2023-06-13 08:49:22,12.307250061251588,76.64947655014058,Illo beatae optio illo itaque temporibus vero. In aliquam sunt beatae adipisci. Placeat saepe sapiente suscipit aliquam nihil.
70,100010001202300070,202300070,2023-07-29,12,12,1,1,2,4,2023-07-28 09:27:59,12.978712828826254,77.61297204709379,Iste deleniti ea minus quibusdam quisquam minus. Nostrum ad nesciunt dolor. Exercitationem incidunt iure numquam distinctio.
71,100070001202400071,202400071,2024-01-23,24,72,3,1,1,1,2024-01-23 07:15:04,14.475031075030678,75.89236712959215,"Placeat inventore pariatur consectetur. Laboriosam vel minima.
Eum non cum eos odio eos natus. Ipsam similique commodi iusto ex eius quisquam. Explicabo quo provident officiis."
72,100010001202500072,202500072,2025-01-15,21,14,3,2,3,2,2025-01-14 14:01:53,12.939096151769753,77.59050997454862,Beatae sint earum magnam magnam. Doloribus odit a dolores praesentium pariatur. Vero voluptatem blanditiis culpa reprehenderit reiciendis deserunt assumenda.
73,100060001202600073,202600073,2026-06-11,19,64,1,1,5,1,2026-06-10 12:59:22,17.35860596066202,76.87543324360871,Corporis fuga eveniet beatae nihil distinctio laborum. Facere quia nisi mollitia. Nam eligendi quod ipsa.
74,100010001202600074,202600074,2026-01-08,5,15,2,2,5,1,2026-01-06 19:12:28,12.962375208427115,77.56913563703293,"Rerum qui amet ducimus laboriosam magni unde.
Fuga eligendi animi labore ducimus.
Porro sequi hic modi ullam nobis omnis. Error eveniet consequuntur ad tenetur harum."
75,100010001202300075,202300075,2023-06-07,16,11,3,1,4,1,2023-06-07 14:00:16,12.93989809458571,77.5625871365561,Laborum dolore illum sapiente quaerat odit. Totam aliquam vel eius cum fugiat. Aspernatur earum quae repudiandae iusto. Iste nobis autem.
76,100020001202600076,202600076,2026-05-13,32,25,3,2,1,2,2026-05-13 11:21:48,12.309640049493629,76.65529263261097,Ab totam fugiat blanditiis. Vero reprehenderit similique aspernatur modi eligendi. Illum itaque deleniti.
77,100010001202600077,202600077,2026-06-03,2,13,1,2,2,4,2026-06-03 07:08:46,12.979113867747087,77.58723561996992,Aut temporibus soluta est amet. Facilis ratione hic dolore quas dolorum. Perspiciatis assumenda aliquid id maxime quas.
78,100050001202400078,202400078,2024-11-11,27,54,2,2,3,4,2024-11-10 03:36:45,15.835048114088357,74.48804281332792,"Atque ullam sint molestiae voluptas blanditiis aut. Enim sequi voluptas in.
Aut dolore quis aut id architecto reprehenderit. Perferendis officia ducimus occaecati. Ex delectus consequatur quae hic."
79,100010001202500079,202500079,2025-11-08,39,11,1,2,5,4,2025-11-03 02:18:22,12.98305555746871,77.568873481398,"Minus recusandae tempore voluptate excepturi accusantium qui. Quo eaque accusamus.
Soluta deserunt tenetur. Dolorem esse vitae officiis neque."
80,100010001202400080,202400080,2024-03-03,6,12,1,2,2,3,2024-03-01 10:52:24,13.004385642542799,77.55776021982855,Amet numquam quae tempore vero quas ipsum. Reprehenderit quo totam iure doloremque veritatis occaecati fugiat. Porro nostrum commodi vel commodi omnis nobis.
81,100020001202600081,202600081,2026-04-22,9,24,1,1,3,3,2026-04-21 07:25:26,12.313806505634739,76.67372268297234,"Veniam nulla excepturi ea. Ipsa vel rem quos. Voluptate aperiam amet ad at nesciunt quod facilis.
Accusamus praesentium aspernatur animi. Unde nemo quod consequuntur."
82,100010001202500082,202500082,2025-06-07,50,11,1,2,2,4,2025-06-04 18:33:19,12.962823187568484,77.634465139666,"Veniam alias doloribus. Illum consequatur molestias rerum harum sint.
Aliquam eaque ipsum excepturi delectus magni cupiditate."
83,100060001202300083,202300083,2023-08-05,15,63,3,2,2,1,2023-08-04 05:15:57,17.362629429468228,76.78533951234886,"Similique accusantium corporis. Laboriosam placeat occaecati minus. Inventore dicta reprehenderit harum.
Velit quod ratione possimus. Eveniet impedit possimus eius aut delectus."
84,100010001202400084,202400084,2024-06-17,14,11,2,2,4,4,2024-06-16 03:57:27,13.010749519045909,77.61949865324057,Perferendis consectetur fuga velit dolorum quam officiis saepe. Voluptate similique ex repellat. Laboriosam nulla nemo tenetur magni ad qui.
85,100060001202300085,202300085,2023-07-06,16,61,3,1,2,4,2023-07-02 11:07:37,17.31639940646758,76.84569829229854,Molestiae minus eaque tenetur impedit repellat necessitatibus asperiores. Eveniet omnis consequuntur optio voluptatem. Velit harum explicabo commodi impedit illo laboriosam fugiat.
86,100030001202500086,202500086,2025-07-18,25,35,1,1,2,1,2025-07-15 16:51:23,15.371473237135714,75.09987561813459,"Assumenda tempore eum illum quae. Ducimus culpa eaque sapiente labore.
A repellat impedit. Maxime velit commodi. Odit magnam magni tempore blanditiis odit itaque."
87,100010001202500087,202500087,2025-08-22,36,12,2,2,2,3,2025-08-17 06:42:41,13.02097944423339,77.62429063473088,Alias vero dolore minus numquam voluptates. Non magnam aliquam occaecati ullam itaque veritatis.
88,100010001202500088,202500088,2025-08-18,36,11,2,2,5,2,2025-08-18 14:29:14,12.958184767368587,77.5530209076457,"Dolorem perferendis consequatur earum vel. Architecto minus saepe iste reprehenderit. Minus recusandae quia nesciunt necessitatibus fugiat dolorem.
Optio expedita tempore. Ab maiores maiores."
89,100010001202300089,202300089,2023-05-14,19,15,2,2,4,3,2023-05-13 02:30:03,12.984716202454418,77.55975743638207,Doloribus minima accusantium officiis debitis veritatis fugiat. Consequatur pariatur quasi totam modi. Sunt voluptas iste ex a.
90,100010001202300090,202300090,2023-05-06,2,13,2,2,2,3,2023-05-04 13:18:52,12.953962929131915,77.60159012102397,"Reiciendis velit repellat velit vel. Voluptate rem dolore maxime quo. Et aut perspiciatis id assumenda corporis.
Ut magni sed id pariatur accusamus ex. Nihil exercitationem maiores suscipit."
91,100010001202400091,202400091,2024-07-06,29,15,2,1,5,2,2024-07-06 11:27:48,12.981304726431187,77.64025568480432,Asperiores corporis a aspernatur enim iste. Voluptatum ab sed nihil tempora laboriosam sunt.
92,100010001202400092,202400092,2024-04-26,26,12,1,2,5,4,2024-04-26 01:05:30,13.00684882002707,77.60865944537957,Amet ratione quas maxime. Quod quod laudantium eaque. Pariatur qui expedita occaecati.
93,100020001202300093,202300093,2023-12-24,43,22,3,1,1,1,2023-12-24 07:13:26,12.33469422021082,76.67851978841891,Sunt velit nesciunt itaque. Soluta consequuntur ut voluptas consectetur sapiente ipsam. Incidunt dolor quia possimus.
94,100020001202500094,202500094,2025-02-20,19,21,2,2,2,2,2025-02-15 18:18:45,12.308735382192571,76.60728291392697,Nobis nesciunt expedita reprehenderit similique repellendus magni perferendis. Ipsam porro temporibus ut.
95,100050001202300095,202300095,2023-05-26,18,55,2,2,1,4,2023-05-25 22:39:56,15.884840848957603,74.54758661007142,"Fugit iusto nulla accusamus fugit commodi. Ut nam eveniet voluptate.
Velit alias saepe aliquid illum sequi. Dolores quasi adipisci in quos iste veritatis."
96,100070001202600096,202600096,2026-04-27,35,74,2,1,2,3,2026-04-27 16:21:13,14.47584257559305,75.88806633930196,Alias fugit praesentium magnam voluptatem. Porro est numquam perspiciatis magni dolor. Voluptas quidem saepe velit accusamus ex.
97,100010001202300097,202300097,2023-12-20,49,13,1,1,2,2,2023-12-20 15:28:06,12.978825411795334,77.63015695214376,Soluta nisi omnis labore dolore ipsam veritatis. Reiciendis ipsam libero nam sapiente. Dolorem maiores illo consequatur.
98,100010001202400098,202400098,2024-09-20,28,14,2,2,3,2,2024-09-20 05:13:19,12.95609267203087,77.5814197358376,Nam pariatur delectus quidem quibusdam. Perspiciatis alias voluptate amet vel nesciunt exercitationem ex. Accusamus molestias atque cum laboriosam iure. Iusto tenetur ducimus veritatis.
99,100010001202300099,202300099,2023-12-01,48,14,1,1,2,4,2023-11-27 05:04:14,12.984298019001946,77.55507034225543,Dolorum temporibus facilis modi. Perferendis animi repellendus laborum. Fugit reprehenderit dolorem assumenda.
100,100010001202500100,202500100,2025-09-28,18,14,3,1,2,2,2025-09-26 23:32:43,12.928116583730993,77.60557229440248,"Quos quasi harum ullam.
Unde dolore odio voluptates. Voluptatibus dolorum eum ut possimus architecto.
Necessitatibus aperiam veritatis autem amet esse. Numquam ipsa quisquam illum."
101,100060001202300101,202300101,2023-03-25,20,65,1,1,1,4,2023-03-22 01:01:53,17.314416056388286,76.85265465518,"Tempora deserunt laborum aut blanditiis officia. Cumque deleniti dolor eos nostrum.
Modi beatae aliquam odit minus. Modi aspernatur libero. Omnis deleniti magni facilis."
102,100080001202400102,202400102,2024-07-02,8,83,2,2,3,3,2024-06-29 04:57:20,15.184731441628928,76.92103620731767,Dignissimos repudiandae laborum dolorem explicabo. Deleniti eligendi doloribus. Cupiditate asperiores quae illo nostrum cumque quo.
103,100010001202300103,202300103,2023-11-22,13,13,1,2,4,2,2023-11-17 20:27:54,12.99042179342037,77.62893882907169,"Repellat temporibus modi inventore dolor doloribus. Reiciendis quo cum totam provident.
Hic earum aliquid eos occaecati. Rerum dolorum iste voluptatum animi. Ad eius a consequuntur aliquam."
104,100020001202400104,202400104,2024-02-03,13,21,2,1,2,3,2024-01-31 02:36:51,12.302491421788835,76.6687861008259,"Rerum ad impedit voluptas. Architecto iste minus iusto magnam praesentium. Fugiat cum et iste.
Laudantium nam itaque facere totam."
105,100050001202600105,202600105,2026-04-21,7,53,1,2,2,4,2026-04-18 01:06:25,15.823390101888378,74.45255338827931,"Eius ex hic omnis commodi reprehenderit illo.
Debitis expedita illum quibusdam earum. Doloremque pariatur eum non voluptates assumenda vel. Magni illum ipsam exercitationem asperiores."
106,100010001202300106,202300106,2023-03-16,1,15,3,1,5,2,2023-03-11 12:01:05,12.94531326002126,77.55692423691937,Nisi iste fugiat dolor doloribus in neque possimus. Nihil laudantium deserunt quia at saepe id eaque. Quidem doloribus maxime consequuntur quia eaque odit.
107,100010001202500107,202500107,2025-12-14,34,11,1,1,1,1,2025-12-09 19:34:26,13.019887647559832,77.60358562119995,Sed ipsam quidem commodi officia. Est veniam fuga vel tenetur molestias. Quo omnis ab eaque earum facere quis. Sed repellat molestiae ullam eaque maiores aut.
