CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PoliceStationID,latitude,longitude
47,100070001202500047,202500047,2025-06-15,73,14.450284946434898,75.8925149145704
48,100080001202300048,202300048,2023-05-31,85,15.166744086825537,76.91798347099684
49,100070001202500049,202500049,2025-04-27,72,14.481955039587294,75.8823547943359
50,100040001202600050,202600050,2026-07-16,41,12.916063566786438,74.83975154133377
51,100030001202600051,202600051,2026-07-22,34,15.354133817050462,75.09860978942632
52,100070001202600052,202600052,2026-07-19,72,14.487536150610977,75.93300967866575
53,100080001202500053,202500053,2025-02-02,81,15.164371643646042,76.958101458139
54,100060001202500054,202500054,2025-01-10,62,17.28947426780288,76.8610972809288
55,100030001202400055,202400055,2024-03-30,33,15.3798655962285,75.11745255445399
56,100050001202500056,202500056,2025-09-08,51,15.809992342165543,74.54012812821433
57,100030001202500057,202500057,2025-04-26,34,15.34000265739954,75.08067962943292
58,100050001202500058,202500058,2025-08-11,53,15.839373827819715,74.48409506727657
59,100070001202400059,202400059,2024-01-03,71,14.433191011115312,75.92640242725268
60,100080001202400060,202400060,2024-07-07,83,15.168237918395247,76.88759398159732
61,100010001202400061,202400061,2024-11-16,12,12.99408187186257,77.61890990399948
62,100020001202600062,202600062,2026-03-10,25,12.28173184376856,76.5997570321176
63,100040001202400063,202400063,2024-03-29,42,12.866237818284343,74.88906682644648
64,100030001202300064,202300064,2023-07-27,34,15.364675406407445,75.16094558410995
65,100070001202300065,202300065,2023-01-11,75,14.444608402547884,75.91501732046265
66,100050001202300066,202300066,2023-08-09,52,15.83446451134632,74.5457032401583
67,100060001202400067,202400067,2024-12-06,62,17.361050883638185,76.78475797458607
68,100080001202400068,202400068,2024-11-17,84,15.112342424139683,76.90598417971565
69,100030001202300069,202300069,2023-06-20,35,15.328408600407274,75.1435847763426
70,100050001202600070,202600070,2026-05-11,53,15.887378154032277,74.4675977105158
71,100010001202300071,202300071,2023-04-30,11,12.977669047661996,77.6411999597616
72,100040001202400072,202400072,2024-05-24,43,12.906639334489798,74.85061598813093
73,100010001202400073,202400073,2024-08-04,12,12.98818995205737,77.58721518345412
74,100010001202500074,202500074,2025-02-22,13,12.924125182391348,77.55002387353959
75,100050001202500075,202500075,2025-09-27,54,15.87382077627093,74.48739384461754
76,100020001202600076,202600076,2026-01-22,25,12.345436451008446,76.67831727568118
77,100030001202600077,202600077,2026-05-03,34,15.379646145809318,75.09834791174734
78,100040001202500078,202500078,2025-11-06,41,12.930347274838685,74.82527978747254
79,100040001202400079,202400079,2024-11-12,41,12.88843557967356,74.82316314770624
80,100080001202600080,202600080,2026-02-06,83,15.107441501944813,76.87341682364529
81,100020001202500081,202500081,2025-04-03,23,12.287689140491578,76.6124749685313
82,100060001202600082,202600082,2026-03-16,61,17.28829700403411,76.80853204552432
83,100080001202500083,202500083,2025-06-30,85,15.133437328306837,76.90731657387552
84,100010001202400084,202400084,2024-04-17,15,12.998887113858911,77.56801740288917
85,100060001202600085,202600085,2026-02-12,65,17.376442281478397,76.8172532867026
86,100020001202500086,202500086,2025-10-08,23,12.28614665654278,76.63553885252739
87,100050001202400087,202400087,2024-06-06,54,15.802547353903307,74.5326343411855
88,100080001202300088,202300088,2023-10-02,81,15.134274653289095,76.91442343855422
89,100040001202300089,202300089,2023-03-27,41,12.901337798048734,74.8171357092214
90,100030001202500090,202500090,2025-04-01,33,15.394317585265387,75.12894349305192
91,100020001202600091,202600091,2026-03-16,25,12.33830580781608,76.65523065965354
92,100060001202500092,202500092,2025-09-06,65,17.28823012002638,76.84135107678215
93,100040001202400093,202400093,2024-02-24,42,12.893994919777985,74.81376443314423
94,100020001202500094,202500094,2025-05-20,23,12.308430678749472,76.67466490629532
95,100040001202500095,202500095,2025-11-21,41,12.95185317541622,74.84829155472111
96,100030001202500096,202500096,2025-11-19,31,15.402391499937162,75.10999902440292
97,100070001202400097,202400097,2024-10-05,73,14.415180636016022,75.95504140105066
98,100080001202300098,202300098,2023-03-29,81,15.111883277580835,76.89810177501575
99,100060001202300099,202300099,2023-02-06,63,17.34275410141832,76.87664226623846
100,100080001202600100,202600100,2026-04-09,82,15.160484491033856,76.87996110050565
101,100050001202600101,202600101,2026-03-14,51,15.80829791407536,74.53313460562988
102,100010001202300102,202300102,2023-10-17,14,12.94831193037352,77.55633149137057
103,100060001202500103,202500103,2025-07-02,64,17.2861336610515,76.87477186649444
104,100030001202600104,202600104,2026-07-11,34,15.399307244802191,75.14819715529661
105,100080001202600105,202600105,2026-01-12,85,15.118187713959092,76.88334069751727
106,100010001202300106,202300106,2023-06-19,14,12.927845182161164,77.59460824789845
107,100060001202500107,202500107,2025-10-18,61,17.28708731371798,76.85220238680114
108,100010001202400108,202400108,2024-12-08,15,12.956047854559952,77.59678659059533
109,100080001202400109,202400109,2024-01-20,85,15.1074946479998,76.95003598978055
110,100060001202300110,202300110,2023-05-26,64,17.313038837155364,76.84589366139245
111,100070001202300111,202300111,2023-05-26,71,14.47835278362164,75.96456903098476
112,100060001202400112,202400112,2024-06-03,62,17.317981213987288,76.81014293385029
113,100050001202600113,202600113,2026-03-30,54,15.80398413710502,74.52752995503391
114,100020001202500114,202500114,2025-04-06,25,12.249314689189251,76.6504583086894
115,100050001202400115,202400115,2024-06-04,55,15.823920911388887,74.51477339431581
116,100050001202400116,202400116,2024-04-03,54,15.866733642059687,74.49690876922126
117,100060001202500117,202500117,2025-03-17,62,17.329418943771596,76.81711684430547
118,100040001202300118,202300118,2023-01-04,41,12.943032340610646,74.82037781118954
119,100050001202300119,202300119,2023-11-28,53,15.818502191718482,74.53446107603841
120,100030001202500120,202500120,2025-10-01,35,15.359834386180502,75.14920481026935
121,100050001202500121,202500121,2025-02-18,51,15.854222956971402,74.5275201442079
122,100070001202300122,202300122,2023-03-28,71,14.509537731419554,75.91868832516332
123,100030001202400123,202400123,2024-01-17,34,15.371941913235345,75.08582175805432
124,100050001202400124,202400124,2024-12-25,53,15.823488648463732,74.46137639654238
125,100030001202400125,202400125,2024-09-30,34,15.316633941732457,75.16833128833139
126,100030001202600126,202600126,2026-02-01,34,15.36023182327178,75.12888861064155
127,100040001202500127,202500127,2025-12-02,44,12.926558545547618,74.88441714314027
128,100030001202300128,202300128,2023-03-16,35,15.341459276690266,75.0859881220764
129,100070001202500129,202500129,2025-11-18,71,14.502728774408997,75.94359813475269
130,100020001202300130,202300130,2023-12-25,25,12.334759872765698,76.60858052271045
131,100060001202500131,202500131,2025-01-11,63,17.331253028553405,76.78849675625372
132,100070001202600132,202600132,2026-04-23,71,14.41675078171765,75.94987290628217
133,100070001202300133,202300133,2023-05-23,75,14.491972803203186,75.87698857320264
134,100070001202600134,202600134,2026-02-23,75,14.421205028161266,75.92434493586605
135,100040001202400135,202400135,2024-10-26,45,12.929875010582103,74.81295138655936
136,100020001202500136,202500136,2025-03-03,21,12.275247072147524,76.64594818252786
137,100080001202300137,202300137,2023-04-13,85,15.1320097034026,76.94926264129171
138,100040001202300138,202300138,2023-10-27,44,12.887971400773596,74.87084086191778
139,100030001202300139,202300139,2023-06-29,31,15.342201518877465,75.14873299526376
140,100030001202300140,202300140,2023-05-29,33,15.389377943533296,75.10209687603358
141,100010001202300141,202300141,2023-01-31,14,13.00883098940372,77.62893207284529
142,100060001202400142,202400142,2024-08-26,62,17.281564599710766,76.8491540533047
143,100080001202400143,202400143,2024-01-29,83,15.098409554161716,76.87264666750383
144,100030001202400144,202400144,2024-02-11,31,15.328969695967336,75.11516602973575
145,100020001202500145,202500145,2025-06-18,21,12.307725231124198,76.60980664956406
146,100020001202300146,202300146,2023-12-20,23,12.290132538412305,76.68543933761923
147,100040001202300147,202300147,2023-04-03,41,12.93650197774367,74.8127776478904
148,100050001202500148,202500148,2025-03-12,54,15.851759713100954,74.45018606108654
149,100070001202500149,202500149,2025-04-29,71,14.485698136620003,75.90387127708253
150,100080001202400150,202400150,2024-08-30,83,15.121640825298078,76.87685437136166
151,100060001202300151,202300151,2023-01-09,61,17.322184258850054,76.83151830865786
152,100020001202300152,202300152,2023-05-03,24,12.248307676439168,76.59660441259719
153,100070001202300153,202300153,2023-01-02,71,14.43506406163088,75.95198255824863
154,100080001202600154,202600154,2026-02-04,81,15.119974488050646,76.97003770341763
155,100030001202500155,202500155,2025-08-04,32,15.391980557971026,75.16304411160026
156,100060001202500156,202500156,2025-04-28,64,17.349052968464974,76.83898510747122
157,100050001202400157,202400157,2024-02-09,54,15.81618925000505,74.53847115948659
158,100050001202600158,202600158,2026-01-07,52,15.844079225065986,74.49300431013395
159,100050001202600159,202600159,2026-03-17,52,15.89386992178574,74.54481195841612
160,100060001202300160,202300160,2023-10-21,63,17.324189646567792,76.79237721895568
161,100040001202600161,202600161,2026-03-20,45,12.913372054782403,74.83396850429884
162,100070001202400162,202400162,2024-01-02,72,14.481984469162793,75.95008351221516
163,100030001202600163,202600163,2026-01-29,35,15.394024649624663,75.13873351857751
164,100040001202500164,202500164,2025-11-08,45,12.963043617307052,74.84331426929776
165,100080001202400165,202400165,2024-05-16,85,15.1167108657531,76.9439603836115
166,100050001202300166,202300166,2023-01-31,54,15.883521618499078,74.52462114038887
167,100030001202500167,202500167,2025-02-22,31,15.349838722543032,75.17156208344859
168,100080001202300168,202300168,2023-03-26,85,15.157060285862404,76.89465162549287
169,100060001202400169,202400169,2024-04-23,62,17.29138284018647,76.84121954882755
170,100060001202500170,202500170,2025-09-10,63,17.291177913119427,76.85697080766828
171,100010001202400171,202400171,2024-05-07,13,12.966698961041349,77.57879201951421
172,100070001202300172,202300172,2023-07-15,75,14.424233338440736,75.95383412403449
173,100040001202600173,202600173,2026-05-21,45,12.960622621519912,74.81462485604325
174,100050001202400174,202400174,2024-06-12,55,15.860033362039673,74.50252058238338
175,100060001202600175,202600175,2026-07-13,64,17.370228277211964,76.85314126688708
176,100030001202500176,202500176,2025-04-01,34,15.365708500174629,75.1456864780804
177,100010001202400177,202400177,2024-01-09,11,12.951687803054794,77.62871370752337
178,100050001202500178,202500178,2025-01-30,55,15.84082719073142,74.49042206334981
179,100070001202400179,202400179,2024-10-11,74,14.503676570957504,75.91310017459408
180,100060001202400180,202400180,2024-04-26,64,17.30800496314589,76.8802287699722
181,100010001202600181,202600181,2026-05-28,12,12.996742003486526,77.5932123441435
182,100050001202300182,202300182,2023-06-25,51,15.823070229812666,74.4566987085084
183,100060001202300183,202300183,2023-07-27,63,17.349945165480566,76.87116089097731
184,100060001202600184,202600184,2026-01-25,62,17.316947529019664,76.87191334028445
185,100030001202300185,202300185,2023-01-13,32,15.382545006266696,75.10119107250318
186,100080001202500186,202500186,2025-09-28,85,15.187854100276407,76.92378950716035
187,100020001202400187,202400187,2024-04-15,21,12.306507415834789,76.6127916572236
188,100080001202500188,202500188,2025-05-11,85,15.136159196057005,76.87259711555174
189,100050001202400189,202400189,2024-09-27,52,15.871281846501724,74.54328828515737
190,100020001202500190,202500190,2025-11-05,24,12.279217655970578,76.6707337109407
191,100080001202300191,202300191,2023-01-03,85,15.122610008887342,76.87376475684549
192,100020001202500192,202500192,2025-08-27,23,12.248309486277371,76.6747369299486
193,100070001202400193,202400193,2024-11-25,73,14.44193473438246,75.92838329697939
194,100080001202300194,202300194,2023-02-08,85,15.100958405491692,76.89578497102721
195,100030001202300195,202300195,2023-09-28,34,15.372441847213558,75.12452104299987
196,100060001202400196,202400196,2024-03-25,61,17.313362777867283,76.80791466360985
197,100070001202300197,202300197,2023-09-14,73,14.440199955851163,75.96394804808794
198,100080001202500198,202500198,2025-07-21,81,15.130970974394018,76.95170076001833
199,100040001202400199,202400199,2024-11-19,44,12.94677574786521,74.84061878772357
200,100020001202500200,202500200,2025-07-09,23,12.276589528264552,76.64893493350509
201,100060001202300201,202300201,2023-04-17,65,17.29158425186109,76.81022455321079
202,100040001202400202,202400202,2024-08-15,43,12.952101484929202,74.84799540836677
203,100050001202600203,202600203,2026-07-15,55,15.827371635388795,74.46951835088117
204,100060001202600204,202600204,2026-01-27,64,17.31602083861371,76.86183070275571
205,100080001202400205,202400205,2024-11-04,82,15.090750260073252,76.95571224265716
206,100060001202400206,202400206,2024-09-17,64,17.292446117189225,76.84241708961981
207,100020001202400207,202400207,2024-08-28,22,12.299515423401914,76.59819729167197
208,100060001202600208,202600208,2026-05-24,62,17.298297381577516,76.84476842391095
209,100070001202300209,202300209,2023-01-23,71,14.508005828809132,75.91086266750149
210,100010001202400210,202400210,2024-08-06,12,13.015600036003445,77.61604661873135
211,100060001202500211,202500211,2025-06-12,63,17.301516703899182,76.85919973486999
212,100030001202300212,202300212,2023-04-30,35,15.32187034382992,75.0899034917396
213,100080001202600213,202600213,2026-04-08,82,15.106358641859996,76.88694633656775
214,100070001202300214,202300214,2023-12-09,73,14.459757619853274,75.96988357275778
215,100040001202300215,202300215,2023-09-12,45,12.910909133160446,74.88798782904968
216,100070001202500216,202500216,2025-10-28,75,14.455468217584178,75.9635895442748
217,100040001202300217,202300217,2023-01-23,44,12.90327214270145,74.8842255309554
218,100050001202500218,202500218,2025-01-07,54,15.865043563444171,74.51017079852217
219,100050001202500219,202500219,2025-05-30,52,15.806470600272885,74.48748851375859
220,100030001202500220,202500220,2025-06-15,31,15.384207801361262,75.15891961918788
221,100080001202600221,202600221,2026-01-11,81,15.117510127732151,76.88022058859019
222,100050001202400222,202400222,2024-05-13,51,15.876839670659129,74.53106076196961
223,100010001202400223,202400223,2024-09-27,14,12.95299071019879,77.55881353772844
224,100020001202400224,202400224,2024-07-22,23,12.254333133504227,76.67887337654581
225,100050001202300225,202300225,2023-08-24,52,15.838900091990553,74.48865844520043
226,100030001202500226,202500226,2025-06-14,33,15.387808678790185,75.13737250815592
227,100060001202400227,202400227,2024-05-27,64,17.35985149927769,76.86613744673848
228,100050001202300228,202300228,2023-11-20,55,15.871727678620978,74.53268095651437
229,100070001202600229,202600229,2026-02-21,75,14.435455453495056,75.8858786448333
230,100050001202400230,202400230,2024-10-02,52,15.833663427624517,74.48581356942242
231,100050001202300231,202300231,2023-12-24,53,15.8702582449498,74.46655822696329
232,100020001202400232,202400232,2024-07-24,25,12.324364046098887,76.62350307852114
233,100070001202300233,202300233,2023-05-07,71,14.503985515088925,75.94635845382918
234,100010001202500234,202500234,2025-06-17,12,12.980964607044646,77.600529246263
235,100040001202500235,202500235,2025-01-16,41,12.914244027099697,74.86049548977974
236,100010001202500236,202500236,2025-09-11,11,12.9674703690958,77.60409192276724
237,100040001202600237,202600237,2026-02-15,45,12.913798183705188,74.86239526961664
238,100050001202400238,202400238,2024-08-12,53,15.832156448300518,74.50335600195974
239,100040001202400239,202400239,2024-05-04,42,12.961131987232807,74.88636855065926
240,100010001202400240,202400240,2024-08-18,12,12.991654398899088,77.6052020241115
241,100010001202300241,202300241,2023-06-22,14,13.004350498667758,77.56195215599944
242,100080001202400242,202400242,2024-02-28,82,15.156553236065626,76.87963610829891
243,100050001202500243,202500243,2025-02-04,55,15.873490315804338,74.54169545957248
244,100010001202300244,202300244,2023-03-20,14,12.988128031042756,77.5478502412891
245,100030001202300245,202300245,2023-05-18,35,15.315964655347042,75.15150154987906
246,100030001202300246,202300246,2023-07-27,35,15.327752408353843,75.113821866235
247,100030001202600247,202600247,2026-05-11,32,15.317443491867074,75.11718237795152
248,100070001202600248,202600248,2026-02-16,71,14.424090579219488,75.87966852884256
249,100040001202300249,202300249,2023-07-26,43,12.89734675709718,74.81556685353523
250,100030001202400250,202400250,2024-02-22,35,15.3808227342408,75.08037671610029
251,100050001202300251,202300251,2023-02-12,53,15.883455587253176,74.50377341354562
252,100030001202500252,202500252,2025-02-22,35,15.374881499847852,75.11636663021538
253,100060001202400253,202400253,2024-07-13,62,17.334298383650353,76.79003496116121
254,100010001202500254,202500254,2025-11-11,13,12.927894358689285,77.59164932554216
255,100020001202400255,202400255,2024-08-23,23,12.31792350092304,76.61961800665786
256,100030001202600256,202600256,2026-05-31,33,15.365030942369984,75.155510833672
257,100050001202400257,202400257,2024-05-30,52,15.856079475153432,74.47666161745707
258,100020001202400258,202400258,2024-09-15,21,12.339275312030091,76.61966145674542
259,100050001202500259,202500259,2025-10-04,54,15.859667721677816,74.51868451404263
260,100060001202500260,202500260,2025-08-15,65,17.342340503407325,76.87821037210125
261,100070001202600261,202600261,2026-04-08,75,14.455957768707808,75.93816204294201
262,100010001202300262,202300262,2023-07-08,15,13.013724254041415,77.60157487731311
263,100040001202600263,202600263,2026-05-05,43,12.92364659873698,74.84192947421256
264,100010001202400264,202400264,2024-07-27,15,12.93333827312232,77.63751077239404
265,100060001202400265,202400265,2024-01-10,64,17.354151280282856,76.85660348693541
266,100020001202300266,202300266,2023-05-06,21,12.294548769726008,76.63930795710998
267,100070001202500267,202500267,2025-05-11,72,14.45531328542291,75.90062154293503
268,100030001202300268,202300268,2023-09-30,33,15.40172222669319,75.12529688923951
269,100010001202500269,202500269,2025-04-22,15,12.992849999548987,77.60129556193654
270,100010001202300270,202300270,2023-06-25,14,12.996163009797236,77.57931127615342
271,100040001202400271,202400271,2024-10-23,41,12.943067837439015,74.82426399601566
272,100060001202500272,202500272,2025-09-24,63,17.375745619160558,76.80967559398243
273,100070001202500273,202500273,2025-02-03,74,14.49459202739027,75.9137662384732
274,100080001202500274,202500274,2025-11-11,83,15.166717211344642,76.88593542599251
275,100080001202600275,202600275,2026-02-04,84,15.093686816926162,76.95525866820424
276,100070001202600276,202600276,2026-01-12,71,14.447815124681782,75.92043250143185
277,100080001202300277,202300277,2023-02-27,83,15.187107399853636,76.93309137123612
278,100010001202300278,202300278,2023-05-20,11,12.994921452750818,77.62984071193337
279,100070001202400279,202400279,2024-05-11,74,14.427810621394308,75.91997788803614
280,100010001202300280,202300280,2023-02-06,12,12.933142767042002,77.58751920331402
281,100030001202400281,202400281,2024-06-14,35,15.390063760910346,75.10094500755633
282,100020001202400282,202400282,2024-06-09,21,12.271480864646726,76.65658339724992
283,100010001202600283,202600283,2026-07-10,15,12.931355042596005,77.55346609654437
284,100010001202500284,202500284,2025-02-20,11,12.987434701921204,77.54470756597473
285,100050001202600285,202600285,2026-01-13,53,15.81542595906194,74.49561418457715
286,100060001202300286,202300286,2023-02-04,65,17.299183800530606,76.86277955402372
287,100030001202400287,202400287,2024-08-31,34,15.363040842606912,75.15723774678347
288,100080001202400288,202400288,2024-04-23,85,15.112112823572248,76.93430192424745
289,100030001202500289,202500289,2025-04-18,34,15.409442670678697,75.09788860663201
290,100040001202600290,202600290,2026-02-09,41,12.896814150819242,74.90029505817897
291,100070001202500291,202500291,2025-07-04,71,14.471381514558724,75.93086396466383
292,100040001202500292,202500292,2025-10-20,41,12.948257058928125,74.81849591954393
293,100050001202400293,202400293,2024-06-02,53,15.848622670423657,74.46973415145587
294,100050001202300294,202300294,2023-11-20,51,15.823700862498251,74.4888848201688
295,100030001202300295,202300295,2023-10-18,34,15.340497266664258,75.11992640725533
296,100060001202600296,202600296,2026-03-31,61,17.376871787365285,76.79901183090031
297,100020001202400297,202400297,2024-09-13,24,12.2748678217265,76.63496653342702
298,100030001202500298,202500298,2025-03-02,32,15.368366610747897,75.14580989551482
299,100070001202400299,202400299,2024-05-22,73,14.500803905081945,75.93435460869782
300,100020001202500300,202500300,2025-03-24,23,12.332898972478986,76.61255940438235
301,100050001202400301,202400301,2024-04-18,52,15.885074368383856,74.4857540703425
302,100080001202500302,202500302,2025-11-19,85,15.150506429510209,76.95766799319637
303,100050001202300303,202300303,2023-06-01,55,15.800555631998682,74.51551499858898
304,100060001202600304,202600304,2026-01-20,62,17.29777336814165,76.8536016771885
305,100050001202400305,202400305,2024-10-17,55,15.835619767238567,74.4944734412976
306,100070001202500306,202500306,2025-01-16,72,14.4896698361904,75.96373402339071
307,100070001202500307,202500307,2025-04-22,73,14.474772103722543,75.9456201694412
308,100030001202500308,202500308,2025-09-23,35,15.392379306194892,75.12932864377944
309,100020001202500309,202500309,2025-10-08,23,12.279662064977918,76.62581876109574
310,100050001202500310,202500310,2025-02-25,55,15.859058753819298,74.51010654311968
311,100060001202600311,202600311,2026-01-19,62,17.347634878562776,76.87322059835037
312,100040001202500312,202500312,2025-04-10,44,12.891827523823835,74.82291290743863
313,100010001202500313,202500313,2025-04-09,13,12.92758520876349,77.54600476989
314,100060001202500314,202500314,2025-05-31,61,17.339921428818478,76.85903224791957
315,100010001202400315,202400315,2024-12-02,15,12.93091583679926,77.62131233965137
316,100070001202500316,202500316,2025-06-26,71,14.513891270486958,75.95405290528618
317,100030001202600317,202600317,2026-06-03,32,15.346607676451274,75.14504146006468
318,100020001202300318,202300318,2023-02-16,22,12.290462425237314,76.68029158510802
319,100060001202600319,202600319,2026-07-21,63,17.295804703117582,76.79444676905047
320,100030001202500320,202500320,2025-12-14,31,15.412241494324656,75.11891764891176
321,100030001202300321,202300321,2023-03-31,32,15.356589686446965,75.10954010000214
322,100020001202400322,202400322,2024-06-08,24,12.263167753621438,76.65821401237177
323,100020001202500323,202500323,2025-08-31,21,12.269268523267383,76.6235105311771
324,100010001202300324,202300324,2023-02-03,15,12.93482487960086,77.54493652762271
325,100040001202400325,202400325,2024-04-24,44,12.87883819710637,74.88716341284486
326,100070001202300326,202300326,2023-11-27,73,14.486114946763916,75.8979678608204
327,100020001202300327,202300327,2023-09-18,21,12.278122220141787,76.64146795574452
328,100060001202300328,202300328,2023-08-21,62,17.32255389821204,76.8520192600369
329,100040001202400329,202400329,2024-07-26,41,12.914015819542907,74.84426935077416
330,100050001202400330,202400330,2024-01-22,53,15.87538515879763,74.47418105704179
331,100020001202400331,202400331,2024-08-06,23,12.306478046750572,76.62097980040835
332,100050001202400332,202400332,2024-02-17,53,15.861153529308169,74.47299326777375
333,100060001202300333,202300333,2023-03-05,61,17.36733311853207,76.85963089735161
334,100020001202300334,202300334,2023-10-23,21,12.303493553652991,76.64338035945006
335,100030001202400335,202400335,2024-04-01,31,15.366791111351755,75.12885937562602
336,100050001202400336,202400336,2024-07-30,52,15.824255909041606,74.48836424192493
337,100030001202500337,202500337,2025-12-12,33,15.323028817807314,75.0824602987015
338,100010001202500338,202500338,2025-04-20,15,12.988416411830489,77.59763880132539
339,100040001202500339,202500339,2025-08-07,44,12.958721197942252,74.85954768369339
340,100050001202600340,202600340,2026-05-03,55,15.835661599210772,74.5254790902254
341,100040001202500341,202500341,2025-07-08,44,12.925539305924652,74.88158802516978
342,100060001202400342,202400342,2024-05-29,62,17.37826660039004,76.81697462255804
343,100060001202500343,202500343,2025-01-20,62,17.370477625442803,76.8606185198547
344,100050001202500344,202500344,2025-03-18,54,15.895747104642876,74.53219891783868
345,100050001202300345,202300345,2023-05-15,51,15.836818786644852,74.49180757803953
346,100060001202300346,202300346,2023-04-02,62,17.28865176116799,76.79672393457382
347,100040001202300347,202300347,2023-02-18,45,12.883129076293027,74.8834808476809
348,100050001202400348,202400348,2024-08-23,55,15.839377939406512,74.49182601948621
349,100020001202400349,202400349,2024-07-11,25,12.279123736438788,76.60157945251703
350,100020001202500350,202500350,2025-10-13,22,12.253035656940051,76.60162249333061
351,100030001202300351,202300351,2023-03-15,33,15.405748615868797,75.1221975924682
352,100060001202400352,202400352,2024-07-17,62,17.33082622800363,76.83598167633872
353,100050001202400353,202400353,2024-07-07,54,15.809001323888817,74.47319794376257
354,100030001202400354,202400354,2024-04-05,35,15.375809044354106,75.13217553830786
355,100020001202300355,202300355,2023-04-20,21,12.323586733225982,76.65203328121565
356,100030001202400356,202400356,2024-10-29,31,15.336777803770827,75.10096250967422
357,100070001202300357,202300357,2023-01-20,74,14.416792813353876,75.96241589708032
358,100060001202300358,202300358,2023-08-04,64,17.329889793412484,76.79760358669255
359,100040001202300359,202300359,2023-10-27,44,12.886630336767588,74.86674420157918
360,100030001202500360,202500360,2025-03-26,31,15.40693405544513,75.1638878059168
361,100010001202300361,202300361,2023-09-03,15,12.996275897885994,77.55435164502192
362,100040001202500362,202500362,2025-11-10,41,12.922802376361409,74.87619927075883
363,100010001202500363,202500363,2025-11-25,12,12.99195522913857,77.63310060186554
364,100010001202300364,202300364,2023-08-25,13,12.998255765526611,77.57956565953252
365,100040001202400365,202400365,2024-12-19,41,12.884215298728314,74.85284780436119
